paper,method,method_role,mean_hypervolume_proxy,mean_budget_feasibility_rate,mean_feasibility_rate,mean_constraint_violation_rate,mean_ranking_stability,mean_trace_completeness,mean_move_trace_completeness,mean_reliability_benefit_proxy,mean_renewable_benefit_proxy,mean_runtime_s,runs
p5,TRACE-MOEA,proposed,1.74461503,1.00000000,1.00000000,0.00000000,0.89220000,0.94720000,1.00000000,1.52444444,143.25309474,0.00083496,28
p5,AHP-TOPSIS,baseline,1.72349050,1.00000000,1.00000000,0.00000000,0.80620000,0.86360000,0.72960000,1.90555556,170.15216842,0.00013739,28
p5,Ablation-SingleObjective,ablation,1.68212661,1.00000000,1.00000000,0.00000000,0.78920000,0.82840000,0.70400000,1.90555556,170.15216842,0.00014699,28
p5,Ablation-NoRenewableFeatures,ablation,1.62506494,0.96351098,0.96351098,0.03648902,0.84937483,0.93117664,0.98074286,3.47581964,12.88214595,0.00060050,28
p5,Weighted Sum,baseline,1.61099776,1.00000000,1.00000000,0.00000000,0.78240000,0.75800000,0.65280000,1.90555556,170.15216842,0.00013092,28
p5,NSGA-II,baseline,1.60826859,1.00000000,1.00000000,0.00000000,0.79600000,0.74920000,0.64640000,1.90555556,170.15216842,0.00013131,28
p5,Ablation-NSGA2Only,ablation,1.60826859,1.00000000,1.00000000,0.00000000,0.79600000,0.74920000,0.64640000,1.90555556,170.15216842,0.00013156,28
p5,MOEA/D,baseline,1.58703229,1.00000000,1.00000000,0.00000000,0.78620000,0.73160000,0.63360000,1.90555556,170.15216842,0.00013142,28
p5,Greedy BCR,baseline,1.56503279,1.00000000,1.00000000,0.00000000,0.76460000,0.71840000,0.62400000,1.90555556,170.10829699,0.00014401,28
p5,Ablation-NoReliabilityFeatures,ablation,1.55946921,1.00000000,1.00000000,0.00000000,0.85680000,0.92520000,1.00000000,0.95277778,96.57988421,0.00066216,28
p5,Ablation-NoScheduleRisk,ablation,1.55946921,1.00000000,1.00000000,0.00000000,0.85680000,0.92520000,1.00000000,0.95277778,96.57988421,0.00066106,28
p5,Ablation-SmallProjectPool,ablation,1.54975574,1.00000000,1.00000000,0.00000000,0.84700000,0.91640000,1.00000000,0.95277778,84.76068421,0.00032240,28
p5,Ablation-NoFeasibilityRepair,ablation,1.52291675,1.00000000,1.00000000,0.00000000,0.75760000,0.92520000,1.00000000,0.95277778,96.57988421,0.00064266,28
p5,Random Feasible,baseline,1.50948852,0.99842857,0.99842857,0.00157143,0.69114571,0.64331714,0.55571429,4.65082077,13.53338707,0.00004048,28
p5,Ablation-NoPreferenceRanking,ablation,1.44074069,1.00000000,1.00000000,0.00000000,0.70280000,0.85118400,1.00000000,0.95277778,96.57988421,0.00067580,28
